source_id,support summary,deny summary,query summary,comment summary
544271069146656768,,People have been using Twitter to criticise the BBC's coverage of the Manchester Arena attack.,Twitter users have been giving their reaction to the news that the UK government has approved the sale of £1bn worth of shares on the stock market.,A man has been arrested on suspicion of attempted murder after a man was shot dead outside a bar in Sydney.
544271284796784640,,,,A British man has been arrested on suspicion of involvement in a bomb attack on a mosque in Manchester.
544271362022338560,A look back at some of the most memorable stories from the BBC News website over the past year.,A look back at some of the best tweets from BBC Radio 5 live listeners over the weekend.,A look back at some of the top stories of the week in British sport.,A number of people have taken to social media to express their shock at reports that a man has been shot dead outside a mosque in Birmingham.
544272537341812736,A look back at some of the most memorable stories from the BBC News website over the past 12 months.,A look at some of the tweets that have been shared on social media in the past few days.,People have been using Twitter to express their anger at the UK government's handling of the Brexit vote.,A look at some of the stories you may have missed in the news this week.
544274544174071809,A look back at some of the most memorable moments in the history of the BBC News Channel.,A look at some of the key stories in the news over the past week.,"It's been a busy few days in the world of politics, with the election of Donald Trump as US president and the resignation of Labour leader Jeremy Corbyn.","People on social media have been reacting to the news that a man has been shot dead in a cafe in Sydney, Australia."
544274934835707905,Twitter users have been giving their reaction to the BBC's decision not to air a documentary about the death of a man in a car crash in Northern Ireland.,,Twitter users have been giving their reaction to the BBC's decision to air a documentary on the Islamic State group.,"The BBC has been criticised on social media for its coverage of the attack on a cafe in Sydney, Australia."
544277117039837184,The BBC has been told by the Saudi Arabian government that there is no such thing as an Islamic State in the Middle East.,A look at some of the key stories in the news over the past 24 hours.,A look back at some of the most eye-catching headlines of the past week.,People on social media have been sharing their reaction to the news that a British man has been killed by Islamic State militants in Syria.
544277860555710464,,A look at some of the most eye-catching images from the BBC News website over the weekend.,A look back at some of the most memorable stories from the BBC News website over the past 12 months.,"Twitter users have been giving their views on the US presidential election, with one user calling for Donald Trump to be re-elected."
544278335455776769,"A man has been arrested in Sydney, Australia, on suspicion of carrying out an act of terrorism.",Tens of thousands of people have taken to the streets of London to protest against what they see as the UK government's support for so-called Islamic State.,A look back at some of the most memorable stories from the BBC News website over the past 12 months.,A man has been arrested on suspicion of assaulting a police officer outside a cafe in Sydney.
544278985249550337,A look back at some of the top stories in Australian news this week.,,A look back at some of the most memorable stories from the BBC News Channel over the past year.,"The Australian Broadcasting Corporation (ABC) has said it will not be broadcasting live on social media because of a ""technical issue""."
544282005941530624,A look back at some of the most eye-catching images from this year's Sydney International Film Festival.,,,Former US Secretary of State Hillary Clinton has been criticised on social media for her comments on the Islamic State (IS) group.
544282227035869184,"Gunmen have stormed a cafe in Sydney, Australia, taking two people hostage.",A look at some of the key stories in the news over the past 24 hours.,,A look back at some of the best tweets from the BBC News Channel over the past week.
544283772569788416,"A siege has broken out at a cafe in Sydney, Australia.",A look at some of the key stories in the news over the past 24 hours.,,A man has been killed and another has been injured in a shooting at a cafe in Sydney.
544287209730236416,The Sydney Opera House has been evacuated due to a fire.,,A look back at some of the most memorable tweets from the BBC News website over the past year.,Tributes have been paid on social media to the victims of the Manchester Arena attack.
544288681021145090,"Up to 20 people have been taken hostage in a cafe in Sydney, Australia, police say.",A look at some of the key stories in the news over the past 24 hours.,,Twitter users have been reacting to reports that up to 20 people have been killed in an attack on a cafe in Sydney.
544289311504355328,,,,A look back at some of the best tweets from the BBC News Channel over the past week.
544289409294553088,A look at some of the best tweets from the BBC News Channel over the past few days.,A look back at some of the most memorable stories from the BBC News website over the past year.,A look at some of the key stories in the news over the past 24 hours.,A selection of the best tweets from the BBC News website over the past 24 hours.
544289941996326912,Former Prime Minister Tony Blair has announced he will not stand for re-election.,A look at some of the key stories in the news over the past week.,A look back at some of the most memorable stories from the BBC News website over the past year.,
544290258951892992,The BBC News website has been taken over by the Australian Federal Police.,,,The BBC News website has been taken over by the Australian Federal Police (AFP).
544291804057960448,A look back at some of the most memorable stories from the BBC News Channel in recent years.,,A look at some of the key stories in the news over the past 24 hours.,Twitter users have been using #SydneySiege to express their concerns about the UK government's handling of the Brexit vote.
544291965513134080,,A look back at some of the most memorable stories from the BBC News website over the past 12 months.,Twitter users have been sharing their reaction to the news that a man has been found dead at his home in north-west London.,"A man who posted a picture of himself with a woman on social media has been branded ""stupid"" and ""dangerous"" by others."
544292129972170752,A look at some of the key stories in the news over the past 24 hours.,The BBC has learned that a man has been arrested in the UK on suspicion of murder.,A look back at some of the most memorable tweets from the BBC News website over the past year.,Twitter users have been giving their reaction to the BBC's report that the Islamic State (IS) militant group is planning to launch an attack in Syria.
544292670336925696,,A look back at some of the most memorable stories from the BBC News website over the past year.,,The BBC has been contacted for comment by the BBC News website.
544293753130082305,A look at some of the stories you might have missed in the news this week.,A look back at some of the most memorable stories from the BBC News website over the past year.,A look back at some of the most memorable stories from the BBC News website over the past year.,Twitter users have been giving their reaction to the news that a man has been arrested in the US on suspicion of terrorism charges.
544294893146091520,A look back at some of the top stories in Australian news this week.,,"A number of people have been killed in a gun attack at a supermarket in Sydney, Australia.","People on social media have been reacting to the hostage crisis in Sydney, Australia."
544297696308518912,A man has been arrested on suspicion of attempting to murder a police officer at a police station in south-west London.,A look at some of the key stories in the news over the past 24 hours.,A look at some of the stories you may have missed in the news this week.,A look back at some of the tweets from the media over the past 24 hours.
544301453717041152,,,,Police in Australia are investigating reports of a bomb at a shopping centre in Sydney.
544305540286148609,,,,"A man wearing a headband emblazoned with the words ""Allahu Akbar"" (God is Great) has been arrested in Australia."
544305745416581120,,,,A man has been arrested on suspicion of attempting to murder a police officer in the Australian city of Melbourne.
544306402731507712,,,,A look at some of the best tweets from the BBC News Channel over the weekend.
544306719686656000,The BBC's Jon Sopel looks at some of the key issues facing the UK in the run-up to the general election.,A look back at some of the best tweets from the BBC News Channel over the past week.,A look at some of the stories you may have missed in the news this week.,People have been sending in their views on the BBC's decision not to air a documentary about the death of BBC presenter Jeremy Vine.
544309275141885952,A look back at some of the best tweets from the BBC News website over the past week.,"The number of people killed in the Paris attacks has risen to more than 1,000, the Paris prosecutor has said.",,"People have been reacting on social media to reports that a gunman has opened fire at a cafe in Sydney, killing at least one person and injuring several others."
544310853613281281,Sydney police are investigating reports a cafe has been set on fire in the city.,Sydney police have launched an investigation after a man was arrested on suspicion of possessing indecent images of children.,,Twitter users have been giving their reaction to the news that former Australian Prime Minister Tony Abbott will not stand for re-election.
544314234541469696,A look back at some of the top stories in Australian news over the past 24 hours.,A look back at some of the most memorable tweets from the BBC News website over the past week.,A look back at some of the most memorable moments from this year's Golden Globes.,"Ride-sharing service Uber has been accused of ""intros"" during a siege in Sydney, Australia."
544315472075042818,,,The BBC has learned that a man in his 50s has died in a car crash in California.,Australian Prime Minister Malcolm Turnbull has called for an urgent meeting with US President Donald Trump to discuss the hostage crisis in Sydney.
544319274072817664,A look back at some of the top stories of the week in British sport.,A look back at some of the most memorable stories from the BBC News Channel over the past year.,A look back at some of the most memorable stories from the BBC News website over the past year.,The BBC's Tom Forte has spoken out against the UK government's handling of the Manchester Arena terror attack.
544319832486064128,"Australia's Prime Minister Malcolm Turnbull has said he is ""disgusted"" by what he has seen on social media in the past few days.","Australia's Prime Minister Malcolm Turnbull has said he will not resign, despite calls for him to do so.",Australia's Prime Minister Malcolm Turnbull is facing calls to step down over the government's handling of the Rohingya refugee crisis.,A look at some of the best tweets from around the world over the past 24 hours.
544324444773433348,Ride-sharing service Uber has raised its prices in Australia for the first time in the company's three-year history.,A look at some of the best tweets from the BBC News Channel over the past few days.,A look back at some of the most memorable stories from the BBC News website over the past year.,"Ride-sharing service Uber has been accused of being ""too expensive"" and ""too easy to use""."
544328894812549121,A look back at some of the best tweets from the BBC News Channel over the past week.,Twitter users have been giving their reaction to a report by the BBC that the US National Security Agency (NSA) is planning to assassinate President Barack Obama.,"Twitter users have been giving their views on the US presidential election, with one user calling for Donald Trump to be elected.",A number of people have taken to Twitter to criticise the BBC's coverage of the Manchester Arena attack.
544329935943237632,Ride-sharing service Uber has been criticised on social media for not covering the cost of some of its drivers' fares.,"Ride-sharing service Uber has been accused of being ""too expensive"" and ""too slow"".",Ride-sharing service Uber has been criticised on social media for charging passengers more for journeys in Sydney.,Ride-sharing service Uber has been criticised on social media for its decision to offer free rides in Sydney's central business district.
544333764814323713,A look back at some of the most memorable stories from the BBC News website over the past year.,,A look back at some of the most memorable stories from the BBC News website over the past year.,"People have been reacting on social media to a video showing a man wearing a headband emblazoned with the words ""Allah is Great""."
544350567183556608,,,A look at some of the key stories in the news over the past week.,A look back at some of the most memorable stories from the BBC News website over the past year.
544350712365207552,A look back at some of the most memorable stories from the BBC News website over the past 12 months.,,A look at some of the key stories in the news over the past 24 hours.,
544352727971954690,A look at some of the key stories of the week in Australian news.,A look at some of the key stories in the news over the past 24 hours.,A look back at some of the most eye-catching headlines of the past week.,A look back at some of the top stories of the past week.
544358533819420672,A man has been killed and another has been injured in a shooting at a cafe in Sydney.,A look at some of the key stories from around the world this week.,A look at some of the most eye-catching images from the BBC News website this week.,A look at some of the tweets that have been shared on social media in the past 24 hours.
544358564484378624,A look at some of the key stories in the news over the past week.,,A look at some of the most eye-catching images of the year so far.,
544367462012432384,A look back at some of the most memorable stories from the BBC News website over the past 12 months.,,Police in Australia are searching for three people who escaped from a cafe in Sydney.,The BBC has learned that two people have been killed in a shooting at a shopping centre in south-east London.
544374511194632192,The BBC has learned that a man has been killed in a shootout between police and suspected Islamist militants in north-eastern Afghanistan.,A look back at some of the most memorable stories from the BBC News website over the past year.,A look at some of the key stories in the news over the past 24 hours.,The BBC has been given permission to broadcast live on the BBC Sport website for the first time.
544380742076088320,A look back at some of the most memorable moments from this year's Paralympic Games.,,,A man has been arrested on suspicion of rape after a woman was photographed in the back of a police car.
544381485591982083,A man has been arrested on suspicion of attempted murder after a woman was shot in the head in a shooting at a shopping centre in Melbourne.,A look back at some of the best tweets from the BBC News Channel over the past week.,,"Troy Bramston, the BBC's political correspondent, takes a look at some of the comments made by people on social media in the wake of the Manchester Arena attack."
544382892378714113,A look back at some of the top stories in Australian news this week.,,A look back at some of the top stories of the week in Australian news.,Twitter users are having a field day with this picture of a woman who looks like she's been hit by a car.
544391176137089024,A look at some of the stories you may have missed in Australia this week.,,A look at some of the key stories in the news over the past 24 hours.,Former US President Barack Obama has been accused of being a supporter of the so-called Islamic State (IS).
544391533240516608,,,,A look at some of the key stories from around the world this week.
544399927045283840,,A look at some of the key stories in the news over the past 24 hours.,The BBC News website has been taken over by the Islamic State militant group.,An Australian man has been killed by a gunman in a cafe in Sydney.
544462330105712640,A look back at some of the top stories in Australian news this week.,Twitter users have been giving their views on the BBC's decision to air a documentary about the life and death of former Prime Minister Tony Blair.,A look back at some of the most memorable stories from the BBC News website over the past 12 months.,People on social media have been reacting to BBC presenter Ray Hadley's appearance on the Today programme.
544476808566276097,The BBC News website has been taken over by the Islamic State (IS) militant group.,A look at some of the stories you might have missed in the news this week.,A look at some of the stories you may have missed over the past week.,Twitter users have been giving their reaction to the news that a man has been shot dead by security forces in the Syrian city of Aleppo.
544491151118860289,,A look back at some of the most memorable moments from this year's Brit Awards.,,The BBC News website has been taken over by a group of Twitter users calling for the resignation of the UK's Prime Minister Theresa May.
544504183341064192,A look back at some of the most memorable stories from the BBC News website over the past year.,,,Twitter users have been giving their reaction to the news that a woman has been found guilty of indecently assaulting a man.
544510450101415936,A look at some of the key stories in the news over the past 24 hours.,,A look at some of the key stories in the news over the past 24 hours.,"A man has been killed in a siege at a cafe in Sydney, Australia."
544511199702822913,,,A look at some of the stories you might have missed in the news this week.,Sydney Police have said they are investigating reports of shots being fired at a house in the city.
544512108885725184,A man has been arrested on suspicion of carrying out a bomb attack on a police station in north-west London.,,A man has been killed and another has been injured in a shooting at a shooting range in the US state of California.,A man has died after being shot in the head by a police officer at a shopping centre in south-west London.
544512664769396736,The BBC has been granted permission to use this article on its website.,,Aberdeen is a city in the south-east of Germany that has a long history of anti-Semitism.,A look back at some of the most memorable stories from the BBC News website over the past year.
544512676643500033,,,,A look back at some of the most eye-catching images from the BBC News website over the past 12 months.
544512910538838016,,,A man has been arrested on suspicion of attempted murder after a man was shot and killed in a shooting at a bar in north-west London.,"A man has been killed and another injured in a shooting at a cafe in Sydney, Australia."
544513524438155264,,,,A look at some of the stories you might have missed in the news this week.
544514564407427072,,,,A look back at some of the top stories of the week:.
544514570367168512,Sydney police are searching a house in the city after reports that a man has been found with a gun.,A look at some of the key stories in the news over the past 24 hours.,A look back at some of the most memorable stories from the BBC News website over the past 12 months.,"A video of a man being dragged out of a car by police has gone viral on social media, with one person calling it ""the saddest moment of my life""."
544515538383564801,Twitter users have been giving their reaction to the news that a man has been arrested in the US on suspicion of murder.,,A look back at some of the best tweets from the BBC News Channel over the past week.,Twitter users have been giving their reaction to the news that a British man has been convicted of rape in the UK.
544517264054423552,,,,"The Sydney siege is over, police have confirmed."
544518335019229184,The BBC has learned that a man has been killed and another injured in a car crash in the US state of California.,A look at some of the key stories in Australian news over the past week.,A look back at some of the top stories in Australian sport over the past week.,Two people have been killed in a shooting in Sydney.
544520042810200064,,,,A look back at some of the most memorable tweets from the BBC News website over the past year.
544520273718812672,A look back at some of the most memorable moments from this year's Paralympic Games.,A look back at some of the most memorable stories from the BBC News website over the past 12 months.,A look back at some of the most memorable stories from the BBC News website over the past 12 months.,Twitter users have been reacting to the news that a man has died after being shot in the head by a police officer.
552783667052167168,,A look back at some of the most memorable stories from the BBC News website over the past year.,A look back at some of the most memorable stories from the BBC News website over the past 12 months.,A look at some of the key stories from the week in French politics.
552785375161499649,A look back at some of the most memorable stories from the BBC News website over the past year.,,,A look back at some of the most eye-catching headlines of the past week.
552788945017516032,A look at some of the key stories in the news over the past 24 hours.,,A look back at some of the most memorable tweets from the BBC News website over the past year.,A number of people have taken to social media to criticise the BBC's decision to publish a cartoon criticising the Prophet Muhammad.
552791196247269378,At least 10 people have been killed in a shooting at the offices of French satirical magazine Charlie Hebdo in Paris.,A look back at some of the most memorable stories from the BBC News website over the past year.,,Calls have been made for the French authorities to investigate the death of a man who was shot in the head in a Paris suburb.
552791578893619200,A look at some of the key stories in the news over the past 24 hours.,A look at some of the key stories in the news over the past 24 hours.,,At least 11 people have been killed in a shooting at the Paris offices of French satirical magazine Charlie Hebdo.
552792544132997121,,,A look at some of the stories you may have missed over the weekend.,"RajaChemayel, the leader of the UK Independence Party (UKIP), has called for an end to political violence in the country."
552792802309181440,"At least 11 people have been killed in a shooting in Paris, police say.",,A look back at some of the most memorable stories from the BBC News website over the past 12 months.,"Images courtesy of AFP, EPA, Getty Images and Reuters."
552792913910833152,"At least 11 people have been killed in a shooting in Paris, police say.",,,A look back at some of the best tweets from the BBC News Channel over the past week.
552793679082311680,A look at some of the key stories in the news over the past 24 hours.,,,A British journalist has been shot in the head in what appears to have been an assassination attempt.
552802654641225728,A look at some of the most eye-catching images from around the world this week.,,A look back at some of the most memorable stories from the BBC News website over the past year.,A look at some of the headlines from the past 24 hours in the world of politics.
552805488631758849,Tributes have been paid to the victims of the Paris attacks.,"Dalia Chai, a member of the Muslim Council of North America (MCNA), has been accused of being a ""racist"" and a ""bigot"" on social media.",,Twitter users have been reacting to the French government's decision to close down the website of the French satirical magazine Charlie Hebdo.
552806309540528128,Former French Prime Minister Manuel Valls has died at the age of 74.,Former Prime Minister David Cameron has said he will not stand for re-election in the UK.,,People on social media have been reacting to the killing of three French journalists in Paris.
552806757672964097,"At least 12 people have been killed in an attack on the Bataclan theatre in Paris, police say.",Twitter users have been reacting to the US government's announcement that it will offer free health insurance to people with pre-existing conditions.,,A look back at some of the most memorable tweets from the BBC News website over the past year.
552810448324943872,A look back at some of the most eye-catching images from the BBC News website over the past week.,A look back at some of the most eye-catching images from the BBC News website over the past week.,,A look at some of the tweets that have been trending on Twitter in the past 24 hours.
552811386259386370,"At least 12 people have been killed in a shooting in Paris, police say.",A look back at some of the best tweets from the BBC News Channel over the past week.,,Twitter users have been reacting to the deadly attacks in Paris.
552814494381256704,A look back at some of the key stories of the past week.,A look back at some of the most memorable stories from the BBC News website over the past year.,,"Sputnik's editor-in-chief, Misha Zaidi, has been killed in a car crash on the Greek island of Kos."
552816020403269632,,A look at some of the key stories in the news over the past 24 hours.,,A look back at some of the most memorable images from the BBC News website over the past 12 months.
552821069036670976,A look back at some of the most memorable images from the BBC News website over the past 12 months.,,,Twitter users have been reacting to the death of cartoonist Charlie Hebdo.
552832817089236992,A look back at some of the most eye-catching images from the BBC News website over the past week.,,,A police officer has been shot dead by suspected Islamist militants in the Syrian city of Aleppo.
552833028201144320,,,,"Twitter users have been giving their reaction to the French government's decision to ban the use of the word ""Islam"" in its election manifesto."
552834961762709505,,,,Twitter users have been reacting to a report that French President Francois Hollande has ordered an investigation into the killing of two Indian journalists in Paris.
552848620375261184,The BBC has learned that two of the men who carried out the attack on the Paris attacks were members of the Islamic State militant group.,A look at some of the key stories in the news over the past 24 hours.,A look back at some of the best tweets from the BBC News Channel over the past week.,"Former US President George W. Bush has described the attack in Paris as a ""terrorist attack""."
552978099357237248,A look back at some of the most eye-catching images from the BBC News website over the past week.,,,A look back at some of the most memorable stories from the BBC News website over the past 12 months.
552978184413921281,A look back at some of the top stories of the week in British sport.,,,A look at some of the key stories in the news over the past 24 hours.
552982613288157184,A look back at some of the best tweets from the BBC News Channel over the past week.,,,"Tributes have been paid to former Prime Minister David Cameron, who died from cancer at the age of 74."
552984502063337472,,A look at some of the key stories in the news over the past 24 hours.,,A look back at some of the most memorable stories from the BBC News website over the past year.
552996335319007233,A look back at some of the most memorable tweets from the BBC News website over the past year.,A look back at some of the best tweets from the BBC News website over the past week.,,Former US President Barack Obama has been criticised on social media for his comments on the Paris attacks.
553107921081749504,A look at some of the key stories in the news over the past week.,A look at some of the most eye-catching images from the BBC News website over the past week.,,A look back at some of the most eye-catching stories from the BBC News website over the past week.
553152395371630592,A look back at some of the best tweets from the BBC News Channel over the past week.,,The BBC has been given permission to use this image on its social media accounts.,A selection of tweets from the BBC's Twitter followers over the weekend:.
553160652567498752,A look at some of the most eye-catching images from the Paris terror attacks over the weekend.,A look at some of the most eye-catching images from the Paris terror attacks in recent years.,,Twitter users have been giving their reaction to the news that a man has been arrested in Australia on suspicion of rape and sexual assault.
553164985460068352,A man has been arrested on suspicion of attempted murder after a man was shot and killed at a petrol station in south-east London.,,A look back at some of the most memorable stories from the BBC News website over the past 12 months.,A number of people have taken to social media to criticise the police for the way they handled the case of a man who was arrested on suspicion of murder.
553184482241814530,,A look at some of the key stories in the news over the past week.,A look at some of the stories you might have missed this week.,The BBC has spoken to two of the men who carried out the attack on the Paris terror attacks.
553197863971610624,"A lot of you have been saying this for a long time, but I don't think I've ever heard anyone say it quite like you.",,A look back at some of the most memorable stories from the BBC News website over the past 12 months.,A Twitter user has criticised the Independent for publishing a photograph of a man who died in the Paris attacks.
553212962044149761,,,A look at some of the key stories in the news over the past 24 hours.,A man has been arrested on suspicion of attempting to smuggle a knife into a police station in south-east London.
553221600955621376,,,,A look back at some of the most memorable stories from the BBC News website over the past 12 months.
553461741917863936,A look at some of the stories you may have missed over the past few days.,A look at some of the key stories in the news over the past 24 hours.,A look back at some of the most memorable stories from the BBC News Channel in the past 12 months.,Twitter users have been reacting to the BBC's decision not to air a documentary about the life and death of a British Muslim man.
553467311261503488,,,,A look back at some of the most memorable stories from the BBC News Channel in the past 12 months.
553470492565602305,,,A look at some of the stories you may have missed this week.,A look back at some of the most memorable stories from the BBC News website over the past year.
553474188259102720,,,A look back at some of the most memorable moments in the history of the BBC News Channel.,Police are searching for a man and a woman who they believe were involved in an attack on a police van in north-east London.
553476490315431937,,,,"Tributes have been paid to the victims of the Manchester Arena attack, which left 12 people dead and many more injured."
553476880339599360,,A look back at some of the most memorable stories from the BBC News website over the past year.,,
553478289474740224,A look at some of the most eye-catching images of the week.,,,"France's President Francois Hollande has vowed to fight terrorism ""head-on"" after the Paris attacks."
553480082996879360,,A look at some of the key stories in the news over the past 24 hours.,,The BBC has learned that a man has been killed in a shootout between police and suspected Islamist militants in north-eastern France.
553486439129038848,A look back at some of the most memorable stories from the BBC News Channel this year.,A look at some of the most eye-catching images of the week in the world of sport.,,French police are searching a building in the Paris suburb of Saint-Germain-en-Laye after reports of a possible bomb attack.
553489393202499584,A look back at some of the most memorable stories from the BBC News website over the past 12 months.,,,A look at some of the tweets that have been trending on Twitter in the past 24 hours.
553501357156876290,A look back at some of the most memorable moments in the history of the BBC News Channel.,The BBC has been granted permission to publish the full text of this article by the European Court of Human Rights.,,The BBC has been criticised on social media for its coverage of the Paris attacks.
553503184174710784,Police have arrested a man on suspicion of murder after a woman was stabbed to death in a Paris park.,A look back at some of the most memorable stories from the BBC News website over the past year.,,Twitter users have been giving their reaction to the arrest of two men by the Metropolitan Police in connection with the killing of a man and a woman in north-east London.
553505242554175489,"Dumfries and Galloway is home to some of the world's best-loved and most famous musicians, including Sir Elton John and Sir Brian Blessed.",,A look back at some of the top stories of the past week.,The BBC has spoken to the victims of the Paris attacks to find out what they think about the attacks.
553506608203169792,The BBC's Nick Thorpe looks at some of the stories you might have missed this week.,,A look at some of the stories you may have missed in the news this week.,A look back at some of the best tweets from the BBC over the past 24 hours.
553508098825261056,A look at some of the most striking images from around the world over the past 24 hours.,A look at some of the key stories in the news over the past 24 hours.,,People on social media have been giving their reaction to the news that two of the Paris attackers have been killed by police.
553512735192141826,,The BBC has been given permission to broadcast live on the BBC Sport website for the first time.,,The BBC has been given permission to broadcast live commentary on BBC Radio 4's Today programme from 7.30am on Monday.
553518472798683136,French police say they have killed at least four people and are continuing to search for a fifth in the Paris suburb of Saint Denis.,,,Former French Prime Minister Manuel Valls has called for the release of the Paris attackers.
553531413459660800,A look at some of the key stories in the news over the past 24 hours.,,A man has been arrested on suspicion of carrying out a sex attack on a woman at a shopping centre in south-west London.,A man has been arrested on suspicion of attempted murder following an incident at a supermarket in north London.
553534838880608256,A look at some of the key stories in the news over the past 24 hours.,,A look at some of the key stories in the news over the past 24 hours.,French police say they have arrested at least five people in connection with an attack on a police station in Paris.
553535829017370625,A look back at some of the most memorable moments in the history of the BBC News Channel.,,,French President Francois Hollande has called for an investigation into the deaths of two French journalists at a kosher supermarket in Paris.
553538058440941568,A look at some of the key stories in the news over the past 24 hours.,,,Several people have been wounded in a shooting at a kosher supermarket in Paris.
553543369604210689,A look back at some of the best tweets from the BBC News website over the past week.,,A look back at some of the best tweets from the BBC News Channel over the past week.,People have been sharing their reaction to the news that a baby has been born in the Isle of Wight.
553544252563935234,"At least two people have been killed in a hostage situation in Paris, French police say.",A look back at some of the most memorable stories from the BBC News website over the past year.,,"The French President, Francois Hollande, has called for an investigation into the deaths of two French journalists at the hands of Islamist militants in Paris."
553544694765215745,French police have arrested a man on suspicion of murder after a woman was shot dead outside a bar in Paris.,,,A look back at some of the most memorable stories from the BBC News website over the past year.
553548567420628992,The BBC has been granted permission to broadcast live on BBC Radio 5 live for the first time.,The BBC has learned that a man has died in a car crash in California.,People on social media have been reacting to the news that a British man has been arrested in connection with an attack on a mosque in Manchester.,The BBC News website has been contacted for comment by the BBC News Channel.
553549686129561600,The BBC has learned that a man has been shot dead outside a supermarket in north-west London.,,,People on social media have been reacting to reports of a shooting at a kosher supermarket in Paris.
553550301886955520,"At least one person has been killed and six injured in a shooting at a kosher supermarket in Paris, French police say.",,"Two people have been killed and another injured in a shooting incident at a nightclub in Los Angeles, police say.","At least two people have been killed in a gun attack in the French city of Paris, police say."
553553288625672192,,,A look at some of the most eye-catching images from the Paris terror attacks.,People on social media have been reacting to reports that the gunman who attacked the Bataclan concert hall in Paris was known to the French security services.
553558982476828674,,,Do you have any tips for BBC Radio 5 live listeners?,A look at some of the tweets you may have missed over the weekend.
553561170637238272,French police have raided a Jewish supermarket in central Paris in the wake of last week's deadly attacks in Paris.,A look back at some of the key stories in the news over the past 24 hours.,French police have ordered all shops in the Paris suburb of Saint-Denis to close in the wake of last week's deadly attacks in the city.,French police have ordered shops in a Jewish area of central Paris to close in the wake of last week’s deadly attacks.
553566026030272512,A look back at some of the most eye-catching stories from the BBC News Channel over the past 24 hours.,,A look at some of the stories you may have missed this week.,Twitter users have been sharing their reaction to the news that a man has been arrested on suspicion of rape in the US state of California.
553575232867672064,A look at some of the most eye-catching images of the week.,A look at some of the key stories in the news over the past 24 hours.,,A look back at some of the most memorable headlines from the past 24 hours.
553576010898497536,Former French President Nicolas Sarkozy has called for the release of all political prisoners in a speech in Paris.,Police are searching for a man and a woman who they believe may have been involved in an attack on a police station in south-east London.,,French police say they have shot dead a man suspected of carrying out an attack on a Paris kosher supermarket.
553579224402235393,A look at some of the stories you may have missed in the news this week.,A look back at some of the most memorable stories from the BBC News website over the past year.,A look back at some of the most memorable stories from the BBC News website over the past year.,A look at some of the tweets sent in from around the world about the hostage crisis in Paris.
553586860334010368,A look back at some of the best news stories of the past week.,,"The BBC asks: ""Are you sure you want to go ahead with this?""",Tributes have been paid on social media to the victims of the Manchester Arena attack.
553586897168392192,French police have arrested two men suspected of involvement in last week's attack on the Bataclan theatre in Paris.,,,France's Prime Minister Manuel Valls has called for an investigation into the death of a man who was stabbed to death in a Paris park.
553587013409325058,French police say they have killed the gunman who attacked the Bataclan concert hall in Paris.,The BBC has been granted permission to broadcast live commentary on the attack in Paris.,A look at some of the key stories in the news over the past 24 hours.,French police have shot dead a gunman outside the Bataclan theatre in Paris.
553587303172833280,"Four people have been taken hostage at a supermarket in Paris, police say.",A look at some of the headlines from around the world this week.,,"At least six people have been killed in an attack on a kosher supermarket in Paris, police say."
553587672137334785,A look back at some of the most memorable stories from the BBC News Channel this year.,,A look at some of the key stories in the news over the past 24 hours.,French President Francois Hollande has confirmed that two people have been killed in an attack in Paris.
553588178687655936,A look back at some of the most memorable stories from the BBC News website over the past year.,,The BBC has learned that a man in his 50s has died in a car crash in California.,Former Prime Minister David Cameron and his wife Samantha have been charged with fraud by the High Court in London.
553589051044151296,"Images courtesy of AFP, EPA, Getty Images and Reuters.",,,"Images courtesy of AFP, EPA, Getty Images and Reuters."
553590459688570880,Several hostages have been freed at a Jewish supermarket in Paris.,"Images courtesy of AFP, EPA, Getty Images and Reuters.",,A look back at some of the most memorable stories from the BBC News website over the past year.
553590835850514433,A look at some of the key stories in the news over the past 24 hours.,A look back at some of the most memorable stories from the BBC News website over the past 12 months.,A look back at some of the most memorable stories from the BBC News Channel in recent years.,"A man has been killed in a supermarket siege in Paris, French police say."
576276947648405505,"Russian President Vladimir Putin has said he will not step down, despite calls for him to do so.",A look at some of the key stories of the week in Russian.,,
576319832800555008,A look back at some of the most memorable moments from this year's Paralympic Games.,,A look at some of the stories you might have missed this week.,German Chancellor Angela Merkel has said she is open to the idea of a referendum on EU membership.
576323086888361984,A look at some of the stories you may have missed in the news this week.,,A look at some of the key stories in the news over the past 24 hours.,A look back at some of the most memorable stories from the BBC News website over the past year.
576513463738109954,A look back at some of the best tweets from the BBC News website over the past week.,,,A look back at some of the best tweets from the BBC News website over the past week.
576755174531862529,,A look back at some of the top stories in Russian this week.,A look back at some of the top stories in Irish sport over the past 12 months.,A look back at some of the top stories in Irish news this week.
576796432730071040,A look back at some of the most memorable stories from the BBC News website over the past 12 months.,A look back at some of the most memorable stories from the BBC News website over the past year.,A look at some of the key stories in the news over the past 24 hours.,"Russia's President Vladimir Putin has been accused of ordering the killing of a Russian journalist, Andrei Karlov, during a visit to the country."
576812998418939904,A look back at some of the most memorable stories from the BBC News website over the past year.,,,A look back at some of the most memorable tweets from the BBC News website over the past year.
576829262927413248,,A look at some of the key stories in the news over the past 24 hours.,A look at some of the key stories in the news over the past 24 hours.,A look back at some of the best tweets from the BBC's political correspondents over the past week.
577258317942149120,,,,"The BBC's political correspondent, Pat O'Dwyer, explains why he thinks Donald Trump will win the US presidential election."
