source_id,all_0 summary,all_1 summary,all_2 summary,all_3 summary
513437031020916738,Konichi Fukunaga is from Japan.,(http://www.washingtonpost.com/,(http://www.washingtonpost.com/,(http://www.washingtonpost.com/
513749585391390720,Starbucks is testing a new latte that tastes like Guinness.,Starbucks is testing a new latte that tastes like Guinness.,Starbucks is testing a new latte that tastes like Guinness.,@BuzzFeed and @marshalls_liked each other's tweets.
513779458340569088,Starbucks is testing a new Latte that tastes like Guinness.,Starbucks is testing a new latte that tastes like Guinness.,Starbucks is testing a new latte that tastes like Guinness.,Starbucks has a new Latte that tastes exactly like Guinness.
513922322915282945,Adam is upset with the way things are going.,@AdamBaldwin and @j_luke,Adam is not sure why these people were not given a chance.,There is no such thing as a free lunch.
514039286845698048,It's the reaction of the people.,HAPPY BIRTHDAY.,It's not a good one.,The writer is a freelance journalist.
514057033419849728,There is no such thing as too much information.,The conversation is open to everyone.,The best is yet to come.,Hilary is a writer.
514062859987595264,Florida woman adds third breast in bid to become reality TV star.,Florida woman adds a third breast to become a reality TV star.,A woman from Florida wants to become a reality TV star.,A woman from Florida is trying to become a reality TV star.
514067907475959808,Florida woman adds third breast in bid to become a reality TV star.,Florida woman wants to become a reality TV star.,Florida woman adds third breast in bid to become a reality TV star.,A woman from Florida wants to become a reality TV star.
514072132301910016,The Daily News wants to know if she did it for attention.,New York Daily News reports that a woman had breast augmentation surgery.,The girl from Daily News is unattractive.,New York Daily News wants to make fun of NY.
514081464171102208,A Florida woman had surgery to give herself a third breast.,A Florida woman had surgery to give herself a third breast.,A Florida woman had a third breast surgery.,A Florida woman had breast surgery to give herself a third breast.
514098803347951616,There's a lot of work to do.,There is no such thing as too much information.,There is no need to worry.,It's only an 8 hour drive to work.
514098833253748736,There's a fight going on in Afghanistan.,It has nothing to do with ISIS.,The News is reporting that they were not a threat,There's a war on for the right to use a weapon.
514100169307348992,There's a problem with Twitter.,It will be intresting to see what happens next.,The Taliban is trying to infiltrate Afghanistan.,There's a lot of work to be done.
514106273852174337,They are trying to enter Canada.,A missing Afghan soldier has been found near Niagara Falls.,Iraqi soldiers were found trying to enter Canada.,NBC is trying to enter Afghanistan.
514106939173634048,The missing Afghan soldiers were found near the Canadian border.,The missing Afghan soldiers were found near the Canadian border.,Fox News reports that Afghan soldiers are missing near the Canadian border.,An Afghan soldier was found near the Canadian border.
514109888138842113,The best is yet to come.,On Twitter @Nellie.,(http://www.washingtonpost.com/,(http://www.washingtonpost.com/
514142113601437696,CNN's reporter quit live on air.,CNN fired a reporter because she was behaving badly.,CNN is not doing a good job.,CNN fired a female reporter because she kissed a man.
514148279601606656,Starbucks is experimenting with a beer-flavored latte.,Starbucks is experimenting with a beer-flavored latte.,Starbucks is experimenting with a beer-flavored latte.,Starbucks is experimenting with a beer flavoured latte.
514150992552931328,"Woman pays $20,000 for third breast.","Woman pays $20,000 for third breast.","Woman pays $20,000 for third breast.","Woman pays $20,000 for third breast."
514201362729828352,The three missing people are from Afghanistan.,@cnnbrk wants to know why they don't want to come to Canada.,@cnnbrk wants to know if they are safe in Canada.,@cnnbrk wants to know where the Canadian police are.
514308277803294721,Theresa is a freelance journalist.,HAPPY BIRTHDAY.,A video of my song is available on YouTube.,(http://www.washingtonpost.com/
514395350615203841,She will earn more money for BBC.,There is no coming back to BBC.,@BBCtrending is not true.,She made an impact on that one.
514420223873941504,Pizza driver was hit by a car.,The driver was injured in the crash.,There was a car accident and nobody got hurt.,The driver was injured in the crash.
514429381737852929,Some iPhone 6 Plus owners are bending their phones.,Some iPhone 6 owners are bending their phones.,Some iPhone 6 Plus owners are bending their phones.,Some iPhone 6 owners are breaking their phones.
514451906211893248,A pizza delivery driver got hit by a car.,The driver was injured in a car crash.,There's a lot to do in Oregon.,There is no such thing as too much sugar.
514468018970034176,iPhone 6 and iPhone 6 Plus are sitting on and bending.,iPhone 6 users are sitting on and bending their phones.,iPhone 6 users are sitting on and bending their new phones.,iPhone 6 users are sitting on and bending their new phones.
514478918636535808,Pizza delivery driver was hit by a car.,Pizza delivery driver died in a crash.,Pizza delivery driver was hit by a car.,A pizza delivery driver was hit by a car in Portland.
514483762566922240,Josh doesn't like it when people talk about iPhones.,There is a lot of stuff on Twitter.,Josh is on Twitter @AskJosh.,There is no such thing as too much information.
514495841600811009,iPhone 6 is too big for people's pockets.,iPhone 6 owners claim it's bending in their pockets.,"iPhone 6 is bending, according to TIME.",iPhone 6 owners claim it's bending in their pockets.
514508854990999553,The iPhone 6 is too small.,Apple's iPhone 6 Plus is too small.,Corben likes the iPhone 6.,Apple's iPhone 6 is too small.
514512849876836352,@katrinalome advises not to put your iPhone 6 in your pocket.,@katrinalome doesn't want to put her iPhone 6 in her pocket.,@katrinalome doesn't want to put her iPhone 6 in her pocket.,Don't put your iPhone 6 in your pocket.
514517213022543872,Unbox has a problem with the new iPhone 6.,Unbox recommends the iPhone 6 to MKBHD.,Unbox has broken his iPhone 6 Plus.,Unbox recommends the iPhone 6 to MKBHD.
514517470238240768,A man is bending an iPhone 6 Plus with his bare hands.,A man is bending an iPhone 6 with his bare hands.,A man is bending an iPhone 6 with his bare hands.,Gizmodo shares a video of a man bending an iPhone 6 with his bare hands.
514535408126795776,There is no such thing as a broken record.,There's a problem with texting while driving.,There is no such thing as an,There is no such thing as too much money.
514540926640087040,The iPhone 6 Plus is broken.,The iPhone 6 doesn't bend.,The iPhone 6 Plus does not have a headphone jack.,The iPhone is too small for women to use.
514546272972574721,Huffington Post shares a link to an article.,Huffington Post shares a link to an article.,Huffington Post has a link to the article.,"""If you put an iPhone in your pocket, it may not come out the same way."""
514550436377137152,Apple iPhone 6 and iPhone 6 Plus are breaking.,"The iPhone is bending, so people are complaining.",The iPhone 6 is breaking down.,The screen of the iPhone 6 is getting smaller.
514555852351479808,@smh is wondering why his phone is broken.,The iPhone 6 is bending in the wrong way.,@smh shares a photo of a broken iPhone.,It's the same thing happened to me.
515519742355185664,There's nothing special about this video.,There is no such thing as a free lunch.,The following is a transcript of an interview.,There is no such thing as a good Muslim.
515538937058971648,There's a fight going on at Twitchy.,It's not a good idea to talk about politics on Twitter.,There is a video of a man being beheaded.,A man was attacked by a woman.
515717938025078784,There's a lot of uncertainty about the future of Islam.,There is no such thing as a happy ending.,Mom is worried about her son.,There is no such thing as too much information.
515918632178577408,@DavidNelson and @marcylauren are upset about the woman's death.,@DavidNelson and @FirstMate1060 don't like the way she treats her family.,@DavidNelson and @ChangeInLibya are accusing each other of spreading lies.,A Muslim woman has been accused of being involved in a terrorist attack.
516313006427602944,There is no substitute for Jesus.,(http://www.washingtonpost.com/,(http://www.washingtonpost.com/,(http://www.washingtonpost.com/
516321020815228929,HAPPY BIRTHDAY.,The internet is full of lies.,Muslims don't want to kill us.,HuffPost has a link to the article.
516345893139001346,Hands up don't is being used as a form of protest in Hong Kong.,Hands up is being used as a form of protest in Hong Kong.,@mrmedina wants to know if there is a problem with the police.,Hands up don't is being used as a form of protest in Hong Kong.
516358319317852160,It was about someone getting shot.,There is no such thing as too much information.,"It's a small world, after all.",(http://www.washingtonpost.com/
516361247223058432,There was a protest in Ferguson.,There will be protests in Hong Kong.,Dangill has a message for the world.,@dangillmor has a funny tweet about Ferguson.
516371936604352513,The image of Ferguson is very powerful.,@dangillmor is on Twitter.,Dangill has a message for the world.,@dangillmor has a funny tweet about Ferguson.
516377014790782977,Sophie shares a photo of a protest.,@sophie_kleeman is having a party in Hong Kong.,Sophie is waiting for the police to show up.,@sophie_kleeman tweets about the similarities between Hong Kong and Chicago.
516386101766782976,Dangill is the author of the following books.,It's good to know people from other countries are listening.,"There is no such thing as ""free will"".",There is no such thing as good intentions.
516390549012480001,On Twitter @dangill.,Rosenbaum is on Twitter.,There's still a long way to go.,It's not what you think it is.
516394449065496577,"Vox is using the "" hands up"" gesture.",The Internet is working for them.,People in Hong Kong are using that hashtag.,"There is no such thing as ""nothing to be afraid of""."
516395112201736192,There is no such thing as a free lunch.,There is no such thing as too much money.,There is no evidence that it's true.,There is no such thing as a free lunch.
516411927506206721,Hong Kong's protesters are using the hashtag #Donnabrazile.,Donnabrazile is angry at the situation in Hong Kong.,@donnabrazile has become a symbol for stupidity.,@donnabrazile doesn't know who the author is.
516414874348298240,There's a war on for your mind.,There is no such thing as too much money.,There is no way it hasn't been done.,(http://www.washingtonpost.com/
516420964834611201,There is no such thing as a free lunch.,There is no such thing as too much information.,There's a protest happening in Hong Kong.,It's not right for law enforcement to kill people.
516423807394131968,It is said that patience is a virtue.,There's a war on for your mind.,This post was contributed by a community member.,There's a fight going on in Hong Kong.
516425769560866817,@elisewho is on Twitter.,They are fighting a common enemy.,There is no such thing as a free lunch.,"Hands up, don't shoot."
516434071631974400,Anony is sharing a video on Twitter.,@Anony is on Twitter.,There's nothing to do but wait.,There's a show coming to Hong Kong.
516435293235183617,There is no connection between Hong Kong and Ferguson.,@jaredbkeller doesn't think there's a connection between the two.,@jaredbkeller thinks the protesters are more important than the police.,@jaredbkeller says that there is no difference between A and B.
516475930097643520,There is no such thing as too much love.,The following files are available to download.,(http://www.washingtonpost.com/,(http://www.washingtonpost.com/
516539137646542848,"Vox is using the ""hands up"" gesture.",It's impossible to know if it's true or not.,There is no connection between Hong Kong and Vietnam.,Vox is using the hashtag #HandsUp.
516545908813475841,The Internet is full of misinformation.,There is no such thing as free will.,There is no such thing as a free lunch.,There are no more #HandsUp
516636338679197697,Jo and David don't like Muslims.,Jo and David are critical of KFC.,Jo5295 and PAMsLOvE don't want to eat pork.,David and Jo don't like Muslims drinking alcohol.
516682897864916992,There is a bug in iOS 8 that deletes files from iCloud.,Apple has a problem with restoring files from iCloud.,There is a bug in iOS 8 that deletes files from iCloud.,@julipuli needs to reset his iCloud settings.
516705572373397504,@afneil is the last line of defence.,@afneil wants to know what happened to his friends.,@afneil wants to know who is responsible for the airstrikes.,There's a fight on the outskirts of Baghdad.
516727880571572225,"Vox is using the ""hands up"" hashtag.",The link to the video is not working.,Vox has a new website.,Vox has received a message from Ferguson.
516729950091493376,Linden asks a question.,There is no good news for Linden.,There are two sides to every story.,There are two sides to every argument.
516804849619705859,Amy doesn't want to eat chicken.,It's easy to see what the problem is.,Amy asks if Muslims are allowed to drink alcohol.,There is a problem with Twitter.
516856061182345216,There is no toilet at KTHopkins.,@KTHopkins wants to know if he can buy a bottle of alcohol.,@KTHopkins is right.,There's a fight going on at KFC.
516861311725342722,The following files are available to download.,The following files can be found on iCloud.,There is no update to this article.,The following files are available to download.
516978780171436032,Pamela shares a photo of her and her family.,Pamela has been murdered.,Pamela is a writer and editor.,@PamelaGeller is a writer.
517003426832453633,Crowley is looking for a job.,There is no evidence to support the idea that a Muslim is a terrorist.,"It was a mistake, but it was funny.",It's a celebration of life for Monica.
517034091028676608,There's a bug in the system.,There is a problem with uploading files.,There is no such thing as a free lunch.,There's a problem with iCloud.
517038566061658114,There's a bug in iCloud.,Apple has a new bug that deletes documents from iCloud.,There's nothing to do but wait.,Apple is fixing a problem with iOS 8.
517051126466625536,Jarjarbug is angry at Obama.,@Jarjarbug and @suecozza are angry at Obama.,Jarjarbug wants to know what happened to his grandmother.,Jarjarbug is sorry for the death of his friend.
517053056211357696,The virus has been confirmed in Texas.,The virus has been detected in the area.,The virus has been confirmed in the US.,The Ebola virus has been confirmed in Dallas.
517416417164263424,The trial of Alton is over.,@FoxNews wants to behead the man.,Fox News is calling him a terrorist.,@FoxNews wants to know what happened to Alton.
517487705978966016,@megynkelly wants him to get the death penalty.,@megynkelly wants to see a public hanging.,He should be hanged for what he did.,@megynkelly wants to see him beheaded.
517712193841037312,There's too much cheese in the world.,There was a kid that was in a wheelchair.,Kim Jong-un broke his ankles.,It's not worth anything.
517850508380618752,The death penalty is not enough for Megynkelly.,@megynkelly wants to know what happened to the prophet.,@megynkelly thinks a trial should be held for him.,There should be a law against violence in the workplace.
518192429153783808,Jarrid shares his opinion on the matter.,Jarrid shares a link to an article.,There's a song about Carrie Underwood.,There's nothing new there. There's always something new.
518620083342835712,The following files are available to download.,Anon shares this article with his friends.,A student went missing in Mexico.,Anon shares his opinion on politics.
518665533089406976,There are some things in the world which I don't like.,The following files are available to download.,Theresa is a freelance journalist.,There's a lot of money missing in Mexico.
518827403452637184,Hewlett-Packard has a new website.,Hewlett-Packard will merge with another company.,Hewlett-Packard has filed for bankruptcy.,There is no such thing as too much information.
518830518792892416,There was a fight between police and students.,The Internet is a wonderful thing.,There was a fight between police and students.,The search is on for the missing student.
518866406512025602,Hewlett-Packard is going to split into two companies.,Hewlett-Packard is going to split into two companies.,Hewlett-Packard is going to split into two companies.,Hewlett-Packard is going to split into two companies.
518870005677826050,This article was originally published on Medium.,It was not sent to us.,There was a problem with the projector.,Hewlett-Packard.
518924377791164420,@mashable is a Twitter account of Mashable.,There is no such thing as a free lunch.,The company is selling its products.,She would break it if she couldn't fix it
518981379963777025,There's a lot going on.,There was a fight in a school.,There is no such thing as too much information.,(http://www.washingtonpost.com/
519078654635409410,Hewlett-Packard will break in two.,The Internet is a wonderful thing.,"It's a good idea, but it's expensive.",Hewlett-Packard will break in two weeks.
519112613800972288,There's a lot of work to do at HP.,"Hewlett-Packard has cut its workforce by 5,000.",The number of layoffs is expected to rise.,There is no such thing as too much information.
519131101798100992,"There are 55,000 jobs to be created.",Forbes is splitting into two companies.,Forbes is not able to solve some problems.,The company is splitting into 2 parts.
519178213441167360,Theresa shares her thoughts on Brexit.,There is no such thing as too much money.,(http://www.washingtonpost.com/,(http://www.washingtonpost.com/
519275971758026752,Hewlett-Packard will split into two companies.,Hewlett-Packard is changing its business model.,Hewlett-Packard is bankrupt.,There is no such thing as too much money.
519311120914722816,"It's not the fault of the customer, it's the company.",The company has sold $1.6 billion worth of shares.,The company is worth $1.6 billion.,The company is raising money for charity.
519348106836860929,Forbes is splitting into two companies.,Forbes.com has been hacked.,Forbes is cutting back on staff.,There is something that needs to be done.
519375764165509121,"According to Wikipedia, it is:",There's a problem with the system.,There is a gap between students and teachers.,(http://www.washingtonpost.com/
519447199164665856,The New York Times reports that Mexico's president is missing.,The New York Times reports that 43 students are missing.,Mexico's police are looking for 43 missing students.,Mexico's police are looking for 43 missing students.
519530210795216896,Forbes.com has been hacked.,Hewlett-Packard is selling.,It's OK to ask for help.,They can learn from each other's mistakes.
519704006826807296,@TMZ reports that Stephen has been arrested.,Stephen is at home and has committed suicide.,The police are looking for Stephen Collins.,Collins is going to be arrested.
519867098945044480,Someone spray painted a penis on a $2.4 million.,Someone spray painted a penis on a $2.4 million.,Someone spray painted a penis on a $2.4 million Bugatti.,Someone spray painted a penis on a $2.4 million Bugatti.
519868410599993344,Someone spray painted a penis on a $2.4 million Bugatti.,Someone spray painted a penis on a car worth $2.4 million.,Someone spray painted a penis on a $2.4 million Bugatti.,Someone spray painted a penis on a $2.4 million bill.
519921456730607616,Heaven is a place where people go to die.,There was a mistake in a tweet.,There are people who are just like us.,There's a lot of money on the Internet.
519929168864497664,Someone spray painted a penis on a $2.4 million Bugatti.,Someone spray painted a penis on a $2.4 million Bugatti.,Someone spray painted a penis on a $2.4 million Bugatti.,Someone spray painted a penis on a car worth $2.4 million.
519935535083565056,There is nothing that can be done about it.,There is no such thing as a free lunch.,(http://www.washingtonpost.com/,(http://www.washingtonpost.com/
519962130859429888,Trump wants to build a wall.,President Trump wants to build a wall.,The fight against ISIS starts at the border.,Trump wants to build a wall.
519965814175567872,There is a penis in the car.,Digg has a new website.,Johannes is the owner of a company called,There's a car on the street.
520132836594970625,Poke is drawing a picture of a penis on the Internet.,The art of drawing is getting more complicated.,There was a graffiti on the wall.,ThePoke shares a photo of a graffiti.
520244836084228096,There's a prankster on Twitter.,The owner of the car is in on it.,The video is available on YouTube.,A prankster painted a penis on a $2.5 million bill.
520265722967375872,A man's leg has been amputated.,Kim Jong-un is still in control.,There is a man with a broken leg.,The leader can't be seen to be weak.
520284654755381249,Amazon plans to open its first physical store in New York.,Amazon plans to open its first physical store in New York.,Amazon plans to open its first physical store in New York.,Amazon plans to open its first physical store in New York.
520299904934371328,It's not clear if it's a joke.,The world is full of lies.,It's explained to me by @Not,It's not clear if it's real or not.
520338188213444608,Amazon offers same-day delivery in NYC.,Amazon.com offers same-day delivery.,The price of a flat is $749.,There's a lot to see at Amazon.
520630231531802624,There is no solution to this problem.,There is no such thing as too much money.,There is no such thing as too much information.,(http://www.washingtonpost.com/
521098692326350848,There is no such thing as a free lunch.,The president is going back to a meeting.,"According to Wikipedia, it is:",There is no such thing as too much information.
521444489697583104,The Internet is a wonderful thing.,There's a fight going on at the UN.,There's a lot of evidence they used to do that.,Sulphur used to be a journalist.
521496155310796800,@AmyMek claims that Kristen Stewart is a hypocrite.,Amy is not happy with the way people talk about her.,Amy is angry at Kristen for calling her an idiot.,Kristen Stewart is an idiot.
521533372280369152,Heaven is a place where people go to die.,Heaven is a place where people go to die.,@TMZ wants to know what happened to him.,Heaven is going through a tough time.
521663202183348224,Ebola was found in Lilduval's hair extensions.,Ebola was found in Lilduval's hair extensions.,Ebola was found in Lilduval's hair extensions.,Ebola was found in Lilduval's hair extensions.
521717368264093696,Marlow is right-wing.,Marlow is right-wing.,Marlow wants to talk to you.,Marlow is against the war on drugs.
521727831307722753,Someone spray painted a penis on a car.,Someone spray painted a penis on a $2.4 million bill.,Someone spray painted a penis on a Bugatti.,Someone spray painted a penis on a Bugatti.
521769631519092736,The Internet is a weapon of mass destruction.,There is no such thing as too much information.,The pictures are from the Internet.,The following people have used chemical weapons.
521770744855134208,The following files are available to download.,There's a war on for your mind.,People have been asking for help for a long time.,There is no such thing as too much information.
521772674155286528,The conversation is open to everyone.,There's a war on for your mind.,Johannes is a doctor.,It's not the only crime she committed.
521777301470871553,KURDISTAN is on Twitter.,KURDISTAN is on Twitter.,It's ok to use chemical weapons.,The EU does not put pressure on Turkey.
521788572933062657,Kurd is back to business.,Kurds are fighting for their lives.,Kurds were attacked by ISIS.,There's a lot of misinformation out there.
521789009576476673,A patient with Ebola is in isolation at the Kansas City hospital.,Patient at Kansas City hospital is in isolation due to Ebola.,Patient at Kansas City hospital is in isolation for Ebola.,A patient at Kansas City's hospital is at risk of Ebola.
521790189715615744,Ebola was found in Lila's hair.,Lila wants people to stop using her as an excuse.,@lildu has been using @cthagod to push his agenda.,@lildu wants to know what's on the agenda.
521821037726797824,The situation is getting out of hand.,The situation in Kansas is getting worse.,Ebola is being tested in Kansas.,People are being tested for Ebola.
521835345059389440,There's something wrong with CNN.,CNN is looking for a journalist.,There's a new video on CNN.,There is a link to a video on CNN.
521882110789824512,There is a war going on in Palestine.,There's more than one way to die.,There is no such thing as too much information.,There is no such thing as free will.
521922785254580225,Rudaw is getting married.,(http://www.washingtonpost.com/,(http://www.washingtonpost.com/,(http://www.washingtonpost.com/
522321383716818944,The internet is full of information about Ebola.,The is a virus. It can be fatal.,A review of the article has been done.,@kathryne is on Twitter.
522443333831262208,Jaffy shares a photo of a woman who got hit by a car.,Jaffy is worried about the situation at the airport.,Jaffy wants to know what she got at JCP.,Jaffy shares a photo of a suit he bought.
522453569702989824,Michael Gibson has a problem with his wrist.,Michael Gibson wants to know how much money he needs to buy plane tickets.,Michael Gibson is a fan of Beyonce.,Michael Gibson wants to know what's going to happen next.
522468118082633729,Christian is going to play a role in a movie.,Christian is going to play Steve in the movie.,Christian Bale is in talks to play Steve Jobs on IMDb.,Christian is in talks with Steve about a project.
522534012544638976,There's a problem with the link.,@Gizmodo shares a link to a movie.,Gizmodo is on Twitter.,JT will play the music.
522654603675176960,There's a spider in MailOnline.,"""Spider burrows through man's skin and crawls under his skin.",A spider burrows through a man's skin.,@Peter_Fries doesn't want to talk about it.
522684367647559681,They are running around killing people.,They are going to keep at it till their last breath.,They are killing each other.,Nobody's safe from ISIS.
522692223952228353,Passenger waiting for flight at Washington airport is taking risks.,A passenger is waiting for a flight at the Washington airport.,Passenger waiting for a flight at the Washington airport is taking risks.,A passenger is waiting for a flight at the Washington airport.
522782267215982592,Caller is on Twitter @Channel4News.,Caller is having a bad day.,Caller is at Dulles International Airport.,Amber sent a video to Channel 4 News.
522815405451407360,The Internet is a dangerous place.,Jeremy has a problem with people gossiping about him.,Jeremy is not happy about it.,Vine is at the airport.
523026678419714048,Joerogan shares a video of a man walking in the rainforest.,Joerogan shares a photo of a man walking in South American rainforest.,Joerogan shares a video of a man walking in South American rainforest.,Joerogan shares a video of a man walking in South American rainforest.
523123023646175233,There's a fight going on in Nigeria.,It took me a long time to write this article.,There's a war on for your mind.,There's a lot going on in Nigeria right now.
523123779124600833,Nigeria's military has agreed to release the kidnapped girls.,BBC broke the news that Boko Haram has agreed to release the girls.,BBC broke the news about Boko Haram girls being released.,BBC broke the news about Boko Haram's release of 200 girls.
523126268603031552,A spider has run into a tree.,@majornelson and @thevowel are laughing at a picture of a spider.,@majornelson and @thevowel made me laugh.,@majornelson and @zephyr_lite are angry at each other.
523535962962280448,They did not succeed in finding a solution.,It's been a long time since I last wrote.,There is no such thing as a free lunch.,There's a lot of work to be done.
523545090099523584,The flight is about to take off.,The flight is about to take off.,The conversation on twitter is going to be interesting.,@connortryan wants to know if he should go to the airport.
523555724807262208,@70torinoman wants to know if this is true.,@70torinoman is angry at Walmart for charging him $70 for a coffee.,Walmart gave $70 to Tamim and Torinoman.,@70torinoman claims that Walmart discriminates against people of color.
523558773345255424,Trey wants to know if he should donate to charity.,The only thing I have been able to find is,It's time to be charitable.,Trey wants to know if he should give money to charity.
523562674487975937,"Walmart donates $10,000 to SaveJobs.",Walmart is hiring more black people than any other company.,"@SaveJobs has donated $10,000 to a charity.",@SaveJobs has a problem with Walmart.
523566838958284801,There is no such thing as too much information.,There is no such thing as too much information.,Theresa is a freelance journalist.,They don't want to pay him back.
523581212175392768,@pourmecoffee sends a tweet about a spider in the forest.,There is a spider in the Rainforest.,@pourmecoffee and @sacca are having a fight.,@pourmecoffee and @jeffr0 don't want to talk about Spider.
523655026485366784,Cyborg is signing up for the program.,Cyborg and Pecoffee are angry at Matt.,Cyborg and Pecoffee are having a fight on Twitter.,Cyborg is leaving the planet.
523820806917603328,Harvard shares a photo of a spider with Naskreck.,Harvard is eating his lunch.,Harvard is the world's largest spider.,Harvard is going to have a heart attack.
523863683928457216,Puppy-sized spider was found in a rainforest.,There was a big spider in the rainforest.,There was a spider in the rainforest.,There is a spider in CBS News.
523888836456108032,@KHOU found a spider in the forest.,There is a spider in the rainforest.,There is a spider in the rainforest.,There's a spider in the rainforest.
523939598691741696,@margarita on Twitter.,There's a spider in the forest.,@margarita is on Twitter.,The Internet is full of surprises.
523943647449198592,Nick is having a nightmare about a spider.,Nick is a one-handed scientist.,Nick is a one-handed scientist.,Nick has spent too much time with Boko Haram.
524144369235140608,@Glinner is a hoax.,@Glinner is a hoax.,@Glinner is @latest_is.,"The story is a hoax, according to the author."
524152657783820288,Francis Boulle shares a photo from his Instagram account.,There is a link to this article on Facebook.,There is no such thing as a free lunch.,It's nice to see you.
524168442841010176,There is no such thing as free will.,Banksy has been arrested.,The link to the article is not working.,The link to the article is not working.
524176293450223616,"People can't be arrested, because they don't have money.",The link to the article has been taken down.,There's a lot of good news on Facebook.,The link to the article is not working.
524178388282802176,There is no such thing as too much information.,There is no such thing as too much money.,There is no such thing as too much information.,(http://www.washingtonpost.com/
524181699043663872,Banksy has been arrested.,It's been a busy day at the office.,There are more important things in life than money.,There is no such thing as a free lunch.
524185876931162112,Puppy-sized spider is in a rainforest.,There's a big spider in the rainforest.,Puppy-sized spider in rainforest.,Puppy-sized spider lives in rainforest.
524186749002473472,Piers Morgan is not arrested.,Piers Morgan has been accused of breaking the law.,Banksy is not arrested.,Piers Morgan is not arrested.
524191650420367360,@jvplive is on Twitter.,There is nothing to do with,There is no such thing as a free lunch.,There is no such thing as a free lunch.
524206851450486785,There's nothing more to say.,Banksy has not been arrested yet.,It's a hoax. It's not true.,Banksy has not been arrested.
524211911668543488,There is no such thing as a free lunch.,The author tweets @krystyne.,There is no cure for cancer.,The video is available on YouTube.
524227209976745984,The Internet is full of useless information.,The deadline for applying for a visa has been extended.,There is no work permit for undocumented immigrants.,@DRUDGE_REPORT shares a link to his Twitter account.
524263570985340928,The Internet is full of surprises.,There are no surprises in the world.,@LiveScience is going to meet with Grylls.,There is no such thing as a bad joke.
524289058290159616,There are many beautiful things in the world.,There is no such thing as too much food.,It's not as easy as it looks.,There is no such thing as too much money.
524291188422356993,@MythBusters is not true.,Adam has died of a heart attack.,There's a spider in the room.,There's a myth about a big spider.
524294016435634178,There is no such thing as a free lunch.,There is a spider on the Internet.,There's a spider in my bathtub.,There's a spider in the room.
524312881823637504,Snooki is angry at Google.,Snooki is angry at Google.,Snooki is angry at Google.,Snooki is mad at her.
524320261667950592,Flores is following Alfredo on Twitter.,Flores wants to know what Alfredo is doing.,Alfredo is following his wife on Twitter.,Alfredo feels some type of way.
524586367456919552,There's a spider in the New York Post.,There's a spider in the rainforest.,@nypost.com is the place to find out what's happening.,There's a picture of a spider on Twitter.
524593547807178753,A giant spider has been found in South America.,A giant spider was found in South America.,A giant spider has been found in South America.,A giant spider has been found in South America.
524646141938647043,The Lord's Prayer is available online.,Ladbible is offline.,The Lord's Prayer is available online.,There is no such thing as too much information.
524685073979678721,The South American spider is about the size of a puppy.,The South American Goliath is a spider the size of a puppy.,The South American spider is about the size of a puppy.,The South American Goliath is a spider the size of a puppy.
524699123971534848,@eonline has something to say about the giant spider.,@eonline has something to say about the giant spider.,There is only one thing to say about the giant spider.,There's nothing good to say about the giant spider.
524757333608394752,The South American Goliath is a spider the size of a puppy.,The South American Goliath is a spider the size of a puppy.,The South American Goliath is a spider the size of a puppy.,The South American Goliath is a spider the size of a puppy.
524881688825167872,There was a problem with someone's painting.,The artist's work has been released.,Bristol has been arrested.,Innocencial information.
524923293711998976,A soldier has been shot in Ottawa.,A soldier has been shot in Ottawa.,A soldier has been shot in Ottawa.,A photo of a car with broken tires was tweeted by Evan Solomon.
524923341359300608,There was a shooting at Ottawa's War Memorial.,There was a shooting at Ottawa's War Memorial.,There was a shooting at Ottawa's war memorial.,This is one of the most disturbing things I've ever heard.
524924619812511746,There's a war on for your mind.,The shooter was wearing a uniform.,There's nothing to worry about.,There is nothing more to say.
524925033626738688,There's a war going on in Afghanistan.,What do you have to be good at?,There are no updates for now.,A man was shot in the head.
524925124303396864,A soldier was shot at Ottawa's War Memorial.,There was a shooting at Ottawa's War Memorial.,There was a shooting at Ottawa's War Memorial.,The number of people protesting at Parliament Hill has risen.
524925600318754816,There is no such thing as too much money.,The writer is a freelance journalist.,There's a war memorial in Ottawa.,The writer is a freelance journalist.
524925730053181440,There's a man on the loose in Canada.,There's a war on for your mind.,There is no such thing as too much information.,There is no such thing as black and white.
524926472432410625,There was a shooting at Parliament.,There's a war on for your mind.,(http://www.washingtonpost.com/,(http://www.washingtonpost.com/
524927281048080385,The Internet is full of lies.,It might be a good idea to not talk to the police.,There is no such thing as a free lunch.,It's good to know where to find me.
524928119955013632,Theresa May is the Prime Minister of Canada.,There's a lot of news on CBC.,On Twitter @KVasil,There is no such thing as too much time to waste.
524928878075457536,The National War Memorial is on CBC's website.,A soldier was shot at the National War Memorial in Ottawa.,There is a video of a soldier being shot at National War Memorial.,There was a shooting at the National War Memorial.
524929106987991040,There is a war memorial in Ottawa.,The writer is a freelance journalist.,There was a shooting at War Memorial.,People are trying to get in touch with me.
524929497205055488,The following files are available to download.,The police are looking for a suspect.,The writer tweets @sana.,It's been a busy week.
524929796862918656,A soldier was shot at Ottawa's war memorial.,There is a sniper on duty at the National War Memorial.,There's a fight going on at National War Memorial.,There's a reason why people don't want to follow people on Twitter.
